ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
16712	"ENSG00000155957.17"	"TMBIM4"	chr12	-	66168914	66169353	66153339	66153448	66169854	66169980	16712	10,10,4	150,144,117	12,26,51	34,77,79	528	89	0.0	0.0	0.011,0.012,0.006	0.056,0.054,0.098	-0.06
17419	"ENSG00000102710.19"	"SUPT20H"	chr13	-	37048563	37048599	37047877	37047936	37051487	37051583	17419	192,136,59	21,14,7	23,42,58	26,29,43	125	89	0.0	0.0	0.867,0.874,0.857	0.386,0.508,0.49	0.405
17591	"ENSG00000168137.15"	"SETD5"	chr3	+	9468518	9468575	9464424	9464672	9470458	9470929	17591	75,93,51	120,86,32	7,4,15	145,203,290	146	89	0.0	0.0	0.276,0.397,0.493	0.029,0.012,0.031	0.365
18435	"ENSG00000137692.11"	"DCUN1D5"	chr11	-	103082747	103082839	103066458	103066567	103083255	103083326	18435	1146,1041,563	22,12,17	186,285,387	44,73,42	181	89	0.0	0.0	0.962,0.977,0.942	0.675,0.657,0.819	0.243
18818	"ENSG00000163636.10"	"PSMD6"	chr3	-	64022642	64022801	64022317	64022523	64023274	64023472	18818	80,152,57	631,716,305	82,51,79	122,105,146	248	89	0.0	0.0	0.044,0.071,0.063	0.194,0.148,0.163	-0.109
18930	"ENSG00000111011.17"	"RSRC2"	chr12	-	122520503	122520581	122518838	122519029	122521384	122521428	18930	75,64,41	285,278,115	23,14,19	255,427,468	167	89	0.0	0.0	0.123,0.109,0.16	0.046,0.017,0.021	0.103
19157	"ENSG00000179950.13"	"PUF60"	chr8	-	143820665	143820716	143818372	143818534	143821596	143821686	19157	762,861,385	385,413,190	177,131,165	237,237,319	140	89	0.0	0.0	0.557,0.57,0.563	0.322,0.26,0.247	0.287
19236	"ENSG00000125952.18"	"MAX"	chr14	-	65077327	65077428	65075123	65076663	65077912	65078036	19236	2,7,1	260,290,112	15,25,14	101,57,88	190	89	0.0	0.0	0.004,0.011,0.004	0.065,0.17,0.069	-0.095
19346	"ENSG00000168385.17"	"SEPT2"	chr2	+	241324408	241324662	241324215	241324241	241325992	241326113	19346	30,39,11	880,744,292	38,93,126	438,408,493	343	89	0.0	0.0	0.009,0.013,0.01	0.022,0.056,0.062	-0.036
19404	"ENSG00000182473.21"	"EXOC7"	chr17	-	76090328	76090397	76089174	76089320	76094413	76094581	19404	93,93,39	105,104,40	4,8,12	63,77,82	158	89	0.0	0.0	0.333,0.335,0.355	0.035,0.055,0.076	0.286
19406	"ENSG00000182473.21"	"EXOC7"	chr17	-	76091142	76091235	76089174	76089320	76094413	76094581	19406	70,52,32	105,104,40	1,1,8	63,77,82	182	89	0.0	0.0	0.246,0.196,0.281	0.008,0.006,0.046	0.221
19458	"ENSG00000050748.17"	"MAPK9"	chr5	-	180286974	180287067	180280439	180280608	180291847	180292053	19458	37,57,17	42,53,16	3,3,3	49,45,55	182	89	0.0	0.0	0.301,0.345,0.342	0.029,0.032,0.026	0.3
19925	"ENSG00000145730.20"	"PAM"	chr5	+	103025133	103025334	103019789	103019843	103028184	103028238	19925	765,605,292	132,161,67	1091,1430,1820	98,78,99	290	89	0.0	0.0	0.64,0.536,0.572	0.774,0.849,0.849	-0.241
19929	"ENSG00000145730.20"	"PAM"	chr5	+	103025130	103025334	103019789	103019843	103028184	103028238	19929	1056,876,407	132,161,67	1529,2001,2641	98,78,99	293	89	0.0	0.0	0.708,0.623,0.649	0.826,0.886,0.89	-0.207
201	"ENSG00000023734.10"	"STRAP"	chr12	+	15883540	15883676	15882394	15882819	15889927	15890009	201	3676,3553,1541	95,152,63	1280,1323,1406	19,5,6	225	89	0.0	0.0	0.939,0.902,0.906	0.964,0.991,0.989	-0.066
20407	"ENSG00000117448.13"	"AKR1A1"	chr1	+	45552435	45552563	45550542	45551155	45561788	45561878	20407	257,262,151	266,245,122	73,59,79	148,206,247	217	89	0.0	0.0	0.284,0.305,0.337	0.168,0.105,0.116	0.179
20477	"ENSG00000162642.13"	"C1orf52"	chr1	-	85258934	85259061	85258523	85258722	85259357	85259633	20477	49,69,41	143,144,65	105,112,106	31,29,21	216	89	0.0	0.0	0.124,0.165,0.206	0.583,0.614,0.675	-0.459
20626	"ENSG00000003756.16"	"RBM5"	chr3	+	50104247	50104308	50102336	50103166	50105076	50105142	20626	239,218,95	6,9,2	25,16,57	18,20,27	150	89	0.0	0.0	0.959,0.935,0.966	0.452,0.322,0.556	0.51
20670	"ENSG00000184014.7"	"DENND5A"	chr11	-	9140188	9140248	9139514	9139854	9141939	9142108	20670	31,27,11	124,104,64	0,1,6	104,121,214	149	89	0.0	0.0	0.13,0.134,0.093	0.0,0.005,0.016	0.112
20693	"ENSG00000166130.14"	"IKBIP"	chr12	-	98634295	98634413	98613404	98614340	98644522	98645075	20693	258,230,94	17,23,9	153,135,173	65,88,72	207	89	0.0	0.0	0.867,0.811,0.818	0.503,0.397,0.508	0.363
20748	"ENSG00000149547.14"	"EI24"	chr11	+	125570103	125570190	125569279	125569573	125572457	125572569	20748	227,228,105	545,529,180	24,43,32	256,260,392	176	89	0.0	0.0	0.174,0.179,0.228	0.045,0.077,0.04	0.14
21205	"ENSG00000135829.16"	"DHX9"	chr1	+	182855576	182855713	182854040	182854178	182856531	182856572	21205	99,89,53	1190,1004,462	55,83,105	186,188,273	226	89	0.0	0.0	0.032,0.034,0.043	0.104,0.148,0.132	-0.092
21227	"ENSG00000136560.13"	"TANK"	chr2	+	161161284	161161412	161160343	161160484	161179613	161179761	21227	110,104,27	40,40,12	25,24,31	60,56,45	217	89	0.0	0.0	0.53,0.516,0.48	0.146,0.149,0.22	0.337
21243	"ENSG00000072310.16"	"SREBF1"	chr17	-	17817547	17817591	17817255	17817457	17817695	17817916	21243	6,1,0	136,116,45	80,38,50	18,28,67	133	89	0.0	0.0	0.029,0.006,0.0	0.748,0.476,0.333	-0.507
21687	"ENSG00000136003.15"	"ISCU"	chr12	+	108564059	108564155	108562605	108562736	108564278	108564392	21687	42,24,10	354,407,188	80,74,59	122,136,181	185	89	0.0	0.0	0.054,0.028,0.025	0.24,0.207,0.136	-0.159
22101	"ENSG00000104231.10"	"ZFAND1"	chr8	-	81717248	81717288	81714986	81715114	81718181	81718224	22101	398,463,204	202,213,91	141,154,224	257,312,357	129	89	0.0	0.0	0.576,0.6,0.607	0.275,0.254,0.302	0.317
22242	"ENSG00000117868.15"	"ESYT2"	chr7	-	158752780	158752843	158749648	158749723	158759485	158759581	22242	479,449,177	101,70,29	265,353,473	186,199,307	152	89	0.0	0.0	0.735,0.79,0.781	0.455,0.509,0.474	0.289
22841	"ENSG00000111790.13"	"FGFR1OP2"	chr12	+	26960514	26960628	26957600	26957743	26963341	26963455	22841	117,129,52	136,178,65	31,23,16	93,190,149	203	89	0.0	0.0	0.274,0.241,0.26	0.128,0.05,0.045	0.184
23431	"ENSG00000152492.13"	"CCDC50"	chr3	+	191375061	191375589	191369918	191370036	191380158	191380274	23431	147,240,67	179,194,90	355,422,485	130,123,130	617	89	0.0	0.0	0.106,0.151,0.097	0.283,0.331,0.35	-0.203
23596	"ENSG00000165802.20"	"NSMF"	chr9	-	137455238	137455307	137454390	137454443	137456410	137456486	23596	441,425,204	16,19,7	180,166,241	66,39,56	158	89	0.0	0.0	0.939,0.926,0.943	0.606,0.706,0.708	0.263
2364	"ENSG00000050130.17"	"JKAMP"	chr14	+	59501190	59501267	59498726	59498908	59503853	59504703	2364	480,381,205	3,5,3	157,216,255	30,55,36	166	89	0.0	0.0	0.988,0.976,0.973	0.737,0.678,0.792	0.243
23741	"ENSG00000171055.14"	"FEZ2"	chr2	-	36558437	36558513	36555682	36555748	36578596	36578865	23741	53,40,16	49,35,21	63,74,141	10,5,3	165	89	0.0	0.0	0.368,0.381,0.291	0.773,0.889,0.962	-0.528
24207	"ENSG00000122958.14"	"VPS26A"	chr10	+	69155811	69155887	69132897	69133047	69157006	69157163	24207	994,784,358	12,4,6	321,355,508	33,38,39	165	89	0.0	0.0	0.978,0.991,0.97	0.84,0.834,0.875	0.13
24314	"ENSG00000103335.20"	"PIEZO1"	chr16	-	88717536	88717615	88717022	88717211	88719573	88719721	24314	50,73,31	134,115,60	4,2,3	116,110,170	168	89	0.0	0.0	0.165,0.252,0.215	0.018,0.01,0.009	0.198
24341	"ENSG00000214078.12"	"CPNE1"	chr20	-	35658929	35659014	35632794	35632923	35664759	35664901	24341	244,182,70	149,149,69	43,76,141	279,228,299	174	89	0.0	0.0	0.456,0.385,0.342	0.073,0.146,0.194	0.257
24343	"ENSG00000115875.18"	"SRSF7"	chr2	-	38748897	38749173	38748578	38748653	38749528	38749705	24343	319,226,96	1779,1672,742	115,181,191	255,314,340	365	89	0.0	0.0	0.042,0.032,0.031	0.099,0.123,0.12	-0.079
24344	"ENSG00000115875.18"	"SRSF7"	chr2	-	38748897	38749346	38748578	38748653	38749528	38749705	24344	612,463,199	1779,1672,742	219,333,318	255,314,340	538	89	0.0	0.0	0.054,0.044,0.042	0.124,0.149,0.134	-0.089
24844	"ENSG00000115762.16"	"PLEKHB2"	chr2	+	131144407	131144449	131140166	131140275	131146636	131149851	24844	43,62,18	363,294,163	8,1,10	251,240,374	131	89	0.0	0.0	0.074,0.125,0.07	0.021,0.003,0.018	0.076
25147	"ENSG00000116212.14"	"LRRC42"	chr1	+	53947787	53947821	53946076	53946549	53951985	53952472	25147	247,232,100	95,68,26	88,71,87	121,120,108	123	89	0.0	0.0	0.653,0.712,0.736	0.345,0.3,0.368	0.363
25190	"ENSG00000145293.15"	"ENOPH1"	chr4	+	82451042	82451245	82447919	82448021	82454721	82454854	25190	1425,1453,594	124,130,53	455,527,669	5,6,9	292	89	0.0	0.0	0.778,0.773,0.774	0.965,0.964,0.958	-0.187
25340	"ENSG00000028203.17"	"VEZT"	chr12	+	95298861	95298943	95296050	95296258	95300164	95301172	25340	37,50,22	100,67,41	4,0,5	47,88,128	171	89	0.0	0.0	0.161,0.28,0.218	0.042,0.0,0.02	0.199
25411	"ENSG00000093167.17"	"LRRFIP2"	chr3	-	37091466	37091538	37083644	37083806	37094791	37094908	25411	51,63,18	108,86,81	47,65,102	14,24,22	161	89	0.0	0.0	0.207,0.288,0.109	0.65,0.6,0.719	-0.455
25483	"ENSG00000196262.13"	"PPIA"	chr7	+	44798747	44798904	44796680	44796793	44799246	44799277	25483	692,892,490	1794,1668,834	144,224,219	896,1061,1256	246	89	0.0	0.0	0.122,0.162,0.175	0.055,0.071,0.059	0.091
25484	"ENSG00000196262.13"	"PPIA"	chr7	+	44798747	44798814	44796680	44796793	44799246	44799277	25484	367,555,254	1794,1668,834	64,89,125	896,1061,1256	156	89	0.0	0.0	0.105,0.16,0.148	0.039,0.046,0.054	0.091
26030	"ENSG00000128641.18"	"MYO1B"	chr2	+	191402631	191402718	191400381	191400468	191408114	191408189	26030	108,150,56	184,156,62	20,5,11	102,136,166	176	89	0.0	0.0	0.229,0.327,0.314	0.09,0.018,0.032	0.243
26252	"ENSG00000080822.16"	"CLDND1"	chr3	-	98521652	98521696	98521132	98521442	98522848	98522955	26252	45,76,30	476,437,153	25,6,19	586,806,860	133	89	0.0	0.0	0.059,0.104,0.116	0.028,0.005,0.015	0.077
26254	"ENSG00000080822.16"	"CLDND1"	chr3	-	98521652	98521718	98521132	98521442	98522848	98522922	26254	64,65,27	476,437,153	32,7,20	586,806,860	155	89	0.0	0.0	0.072,0.079,0.092	0.03,0.005,0.013	0.065
26257	"ENSG00000080822.16"	"CLDND1"	chr3	-	98521652	98521703	98521132	98521442	98522848	98522902	26257	74,86,45	476,437,153	26,7,18	586,806,860	140	89	0.0	0.0	0.09,0.111,0.158	0.027,0.005,0.013	0.105
26316	"ENSG00000139496.15"	"NUP58"	chr13	+	25309246	25309282	25307805	25307948	25312882	25313032	26316	458,409,182	14,6,2	281,247,413	39,74,72	125	89	0.0	0.0	0.959,0.98,0.985	0.837,0.704,0.803	0.193
26362	"ENSG00000129351.17"	"ILF3"	chr19	+	10687345	10687708	10683916	10683970	10688549	10688678	26362	2268,2138,953	41,57,37	1446,1726,2536	2,6,15	452	89	0.0	0.0	0.916,0.881,0.835	0.993,0.983,0.971	-0.105
26627	"ENSG00000108848.15"	"LUC7L3"	chr17	+	50737286	50737479	50736959	50737026	50740305	50740345	26627	87,80,20	565,561,261	164,214,168	208,247,276	282	89	0.0	0.0	0.046,0.043,0.024	0.199,0.215,0.161	-0.154
26780	"ENSG00000198431.15"	"TXNRD1"	chr12	+	104290992	104291104	104288930	104289040	104311289	104311412	26780	175,154,68	857,879,366	7,33,32	379,563,746	201	89	0.0	0.0	0.083,0.072,0.076	0.008,0.025,0.019	0.06
26784	"ENSG00000198431.15"	"TXNRD1"	chr12	+	104288930	104289040	104287048	104287109	104311289	104311412	26784	1759,1763,793	150,162,65	782,1154,1630	163,276,394	199	89	0.0	0.0	0.84,0.83,0.845	0.682,0.652,0.649	0.177
26785	"ENSG00000198431.15"	"TXNRD1"	chr12	+	104288930	104289040	104286880	104287346	104311289	104311412	26785	1324,1354,557	80,63,17	583,849,1090	129,177,207	199	89	0.0	0.0	0.881,0.906,0.936	0.669,0.682,0.702	0.223
26809	"ENSG00000011485.14"	"PPP5C"	chr19	+	46383410	46383476	46376452	46376574	46383779	46383878	26809	830,902,407	15,19,7	250,239,282	26,33,64	155	89	0.0	0.0	0.969,0.965,0.971	0.847,0.806,0.717	0.178
26894	"ENSG00000049130.13"	"KITLG"	chr12	-	88515533	88515617	88507027	88507137	88516333	88516490	26894	2080,1790,715	359,308,113	2135,1908,2830	115,102,178	173	89	0.0	0.0	0.749,0.749,0.765	0.905,0.906,0.891	-0.146
27059	"ENSG00000135317.12"	"SNX14"	chr6	-	85514069	85514234	85513799	85513895	85514505	85514629	27059	790,680,280	29,29,5	797,1253,1526	6,0,1	254	89	0.0	0.0	0.905,0.891,0.952	0.979,1.0,0.998	-0.076
27061	"ENSG00000135317.12"	"SNX14"	chr6	-	85538837	85538864	85536791	85536924	85541984	85542043	27061	101,72,33	269,250,98	22,28,25	330,503,562	116	89	0.0	0.0	0.224,0.181,0.205	0.049,0.041,0.033	0.162
27979	"ENSG00000176731.11"	"C8orf59"	chr8	-	85219235	85219363	85217385	85217502	85220305	85220384	27979	720,760,479	646,677,271	215,243,199	348,601,589	217	89	0.0	0.0	0.314,0.315,0.42	0.202,0.142,0.122	0.194
27980	"ENSG00000176731.11"	"C8orf59"	chr8	-	85219235	85219360	85217385	85217502	85220305	85220353	27980	552,563,351	646,677,271	157,194,165	348,601,589	214	89	0.0	0.0	0.262,0.257,0.35	0.158,0.118,0.104	0.163
27982	"ENSG00000176731.11"	"C8orf59"	chr8	-	85219322	85219363	85217385	85217502	85220305	85220339	27982	142,164,91	646,677,271	34,38,24	348,601,589	130	89	0.0	0.0	0.131,0.142,0.187	0.063,0.041,0.027	0.11
2807	"ENSG00000164548.10"	"TRA2A"	chr7	-	23522120	23522432	23521706	23521840	23531788	23531980	2807	177,113,61	775,725,329	96,203,337	146,118,160	401	89	0.0	0.0	0.048,0.033,0.04	0.127,0.276,0.319	-0.2
2809	"ENSG00000164548.10"	"TRA2A"	chr7	-	23522131	23522432	23521706	23521840	23531788	23532041	2809	141,99,55	775,725,329	97,175,314	146,118,160	390	89	0.0	0.0	0.04,0.03,0.037	0.132,0.253,0.309	-0.196
2812	"ENSG00000164548.10"	"TRA2A"	chr7	-	23522353	23522432	23521706	23521840	23531788	23532023	2812	35,25,20	775,725,329	28,26,38	146,118,160	168	89	0.0	0.0	0.023,0.018,0.031	0.092,0.105,0.112	-0.079
28873	"ENSG00000117335.19"	"CD46"	chr1	+	207767778	207767823	207767012	207767195	207770320	207770362	28873	286,277,143	208,148,77	109,128,184	178,269,276	134	89	0.0	0.0	0.477,0.554,0.552	0.289,0.24,0.307	0.249
28891	"ENSG00000093144.18"	"ECHDC1"	chr6	-	127316449	127316502	127314815	127314896	127327001	127327144	28891	602,661,234	103,114,59	106,125,131	80,97,90	142	89	0.0	0.0	0.786,0.784,0.713	0.454,0.447,0.477	0.302
29165	"ENSG00000151923.17"	"TIAL1"	chr10	-	119580470	119580846	119579934	119580010	119581921	119582009	29165	65,69,31	636,620,315	58,106,295	264,363,430	465	89	0.0	0.0	0.019,0.021,0.018	0.04,0.053,0.116	-0.05
2937	"ENSG00000134759.13"	"ELP2"	chr18	+	36146249	36146381	36145947	36146048	36154849	36154999	2937	697,568,246	24,47,20	318,549,671	8,0,1	221	89	0.0	0.0	0.921,0.83,0.832	0.941,1.0,0.996	-0.118
29414	"ENSG00000093000.18"	"NUP50"	chr22	+	45170987	45171143	45168167	45168246	45171599	45171683	29414	105,92,40	377,377,182	98,127,116	111,97,117	245	89	0.0	0.0	0.092,0.081,0.074	0.243,0.322,0.265	-0.194
29416	"ENSG00000093000.18"	"NUP50"	chr22	+	45170987	45171152	45168167	45168246	45171599	45171639	29416	113,92,42	377,377,182	105,130,126	111,97,117	254	89	0.0	0.0	0.095,0.079,0.075	0.249,0.32,0.274	-0.198
29418	"ENSG00000093000.18"	"NUP50"	chr22	+	45170987	45171177	45168167	45168246	45171599	45171683	29418	196,140,67	377,377,182	164,203,226	111,97,117	279	89	0.0	0.0	0.142,0.106,0.105	0.32,0.4,0.381	-0.249
29591	"ENSG00000062194.15"	"GPBP1"	chr5	+	57237112	57237172	57235965	57236032	57246299	57246484	29591	243,241,112	208,171,74	21,28,48	268,330,431	149	89	0.0	0.0	0.411,0.457,0.475	0.045,0.048,0.062	0.396
29868	"ENSG00000141504.11"	"SAT2"	chr17	-	7626942	7627044	7626781	7626793	7627142	7627414	29868	302,291,108	31,33,15	357,466,423	6,6,5	191	89	0.0	0.0	0.819,0.804,0.77	0.965,0.973,0.975	-0.173
30189	"ENSG00000155506.16"	"LARP1"	chr5	+	154793799	154793922	154793594	154793723	154794099	154794262	30189	507,479,187	35,34,20	203,194,405	0,0,0	212	89	0.0	0.0	0.859,0.855,0.797	1.0,1.0,1.0	-0.163
30191	"ENSG00000155506.16"	"LARP1"	chr5	+	154793799	154794000	154793594	154793723	154794099	154794262	30191	819,746,289	35,34,20	373,372,730	0,0,0	290	89	0.0	0.0	0.878,0.871,0.816	1.0,1.0,1.0	-0.145
30289	"ENSG00000076928.17"	"ARHGEF1"	chr19	+	41906456	41906620	41905938	41906025	41906702	41906803	30289	428,448,180	62,79,31	398,371,512	15,11,19	253	89	0.0	0.0	0.708,0.666,0.671	0.903,0.922,0.905	-0.228
30719	"ENSG00000173852.14"	"DPY19L1"	chr7	-	34957983	34958070	34955307	34955367	34966893	34966971	30719	555,419,156	2,1,2	152,333,661	33,41,56	176	89	0.0	0.0	0.993,0.995,0.975	0.7,0.804,0.857	0.201
31073	"ENSG00000072571.19"	"HMMR"	chr5	+	163467700	163467748	163464722	163464802	163469640	163469829	31073	330,366,144	156,129,51	63,86,88	116,172,137	137	89	0.0	0.0	0.579,0.648,0.647	0.261,0.245,0.294	0.358
