ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4046	"ENSG00000108039.17"	"XPNPEP1"	chr10	-	109875527	109877867	109875527	109875599	109877789	109877867	4046	215,258,87	235,216,97	629,985,1306	178,167,240	2279	89	0.0	0.0	0.034,0.045,0.034	0.121,0.187,0.175	-0.123
4086	"ENSG00000007202.14"	"KIAA0100"	chr17	-	28639574	28640025	28639574	28639642	28639900	28640025	4086	15,22,9	123,129,53	38,73,99	50,46,86	347	89	0.0	0.0	0.03,0.042,0.042	0.163,0.289,0.228	-0.189
4172	"ENSG00000113240.12"	"CLK4"	chr5	-	178616881	178618778	178616881	178616948	178618555	178618778	4172	7,17,4	17,13,9	79,92,127	1,5,1	1696	89	0.0	0.0	0.021,0.064,0.023	0.806,0.491,0.87	-0.686
4191	"ENSG00000185246.17"	"PRPF39"	chr14	+	45096102	45097005	45096102	45096228	45096886	45097005	4191	118,115,37	79,65,49	100,207,235	9,21,32	747	89	0.0	0.0	0.151,0.174,0.083	0.57,0.54,0.467	-0.39
4213	"ENSG00000026036.21"	"RTEL1-TNFRSF6B"	chr20	+	63691741	63693003	63691741	63691837	63692804	63693003	4213	6,22,12	122,127,63	30,30,63	38,41,56	1056	89	0.0	0.0	0.004,0.014,0.016	0.062,0.058,0.087	-0.058
4268	"ENSG00000151923.17"	"TIAL1"	chr10	-	119576610	119577203	119576610	119576750	119577079	119577203	4268	155,165,93	887,847,419	487,821,1009	381,442,506	418	89	0.0	0.0	0.036,0.04,0.045	0.214,0.283,0.298	-0.225
4283	"ENSG00000158864.12"	"NDUFS2"	chr1	+	161213863	161214395	161213863	161213921	161214155	161214395	4283	37,46,24	315,347,123	410,360,426	76,118,164	323	89	0.0	0.0	0.031,0.035,0.051	0.598,0.457,0.417	-0.452
4396	"ENSG00000166471.10"	"TMEM41B"	chr11	-	9280653	9283593	9280653	9281041	9283370	9283593	4396	2112,1708,724	12,14,3	589,976,1493	25,39,49	2418	89	0.0	0.0	0.866,0.818,0.899	0.464,0.479,0.529	0.37
4400	"ENSG00000171863.12"	"RPS7"	chr2	+	3575324	3575684	3575324	3575448	3575591	3575684	4400	25,36,12	71,104,53	14,33,25	3,5,1	232	89	0.0	0.0	0.119,0.117,0.08	0.642,0.717,0.906	-0.65
444	"ENSG00000182944.17"	"EWSR1"	chr22	+	29298732	29299851	29298732	29299280	29299598	29299851	444	341,395,206	45,32,30	127,177,199	0,1,1	407	89	0.0	0.0	0.624,0.73,0.6	1.0,0.975,0.978	-0.333
446	"ENSG00000182944.17"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29291561	29291599	446	1713,1914,838	326,437,229	593,887,1614	53,86,116	2864	89	0.0	0.0	0.14,0.12,0.102	0.258,0.243,0.302	-0.147
4568	"ENSG00000186635.14"	"ARAP1"	chr11	-	72696548	72697195	72696548	72696654	72696982	72697195	4568	14,3,2	49,83,20	55,74,66	45,45,61	417	89	0.0	0.0	0.057,0.008,0.021	0.207,0.26,0.188	-0.19
4661	"ENSG00000169045.17"	"HNRNPH1"	chr5	-	179620891	179621397	179620891	179621035	179621241	179621397	4661	410,384,133	2889,2189,808	375,516,747	1237,1371,1888	295	89	0.0	0.0	0.041,0.05,0.047	0.084,0.102,0.107	-0.052
4775	"ENSG00000089693.10"	"MLF2"	chr12	-	6750176	6750766	6750176	6750305	6750712	6750766	4775	52,57,21	1705,1568,715	119,172,210	1086,1049,1208	496	89	0.0	0.0	0.005,0.006,0.005	0.019,0.029,0.03	-0.021
4840	"ENSG00000127824.13"	"TUBA4A"	chr2	-	219251193	219251713	219251193	219251323	219251564	219251713	4840	18,38,14	278,354,182	83,58,62	179,153,188	330	89	0.0	0.0	0.017,0.028,0.02	0.111,0.093,0.082	-0.074
4856	"ENSG00000108465.14"	"CDK5RAP3"	chr17	+	47973518	47974031	47973518	47973650	47973930	47974031	4856	118,126,49	237,306,135	160,233,302	153,135,161	369	89	0.0	0.0	0.107,0.09,0.08	0.201,0.294,0.311	-0.176
4865	"ENSG00000108465.14"	"CDK5RAP3"	chr17	+	47974399	47975337	47974399	47974448	47975158	47975337	4865	1254,1319,732	150,166,74	1295,1209,1637	47,38,60	799	89	0.0	0.0	0.482,0.47,0.524	0.754,0.78,0.752	-0.27
4881	"ENSG00000186815.12"	"TPCN1"	chr12	+	113291873	113293073	113291873	113291958	113292933	113293073	4881	21,15,5	46,50,20	64,94,102	23,47,56	1064	89	0.0	0.0	0.037,0.024,0.02	0.189,0.143,0.132	-0.128
4935	"ENSG00000145191.12"	"EIF2B5"	chr3	+	184143051	184143565	184143051	184143142	184143441	184143565	4935	107,115,44	269,308,136	165,185,267	123,126,142	388	89	0.0	0.0	0.084,0.079,0.069	0.235,0.252,0.301	-0.185
5016	"ENSG00000131748.15"	"STARD3"	chr17	+	39657972	39658522	39657972	39658026	39658404	39658522	5016	50,32,18	114,122,52	172,242,239	74,72,87	467	89	0.0	0.0	0.077,0.048,0.062	0.307,0.39,0.344	-0.285
5023	"ENSG00000141002.18"	"TCF25"	chr16	+	89904117	89905096	89904117	89904205	89904937	89905096	5023	88,129,54	509,500,223	146,179,255	207,271,313	821	89	0.0	0.0	0.018,0.027,0.026	0.071,0.067,0.081	-0.049
5139	"ENSG00000143543.14"	"JTB"	chr1	-	153976692	153977013	153976692	153976775	153976975	153977013	5139	111,78,39	727,649,290	72,144,147	206,248,255	289	89	0.0	0.0	0.045,0.036,0.04	0.097,0.152,0.151	-0.093
5179	"ENSG00000203875.10"	"SNHG5"	chr6	-	85678135	85678736	85678135	85678188	85678693	85678736	5179	514,636,275	187,162,101	683,1124,1520	71,151,139	594	89	0.0	0.0	0.292,0.37,0.29	0.59,0.527,0.621	-0.262
5240	"ENSG00000110619.16"	"CARS"	chr11	-	3026675	3029084	3026675	3026797	3028995	3029084	5240	60,54,6	281,247,92	72,141,182	122,150,147	2287	89	0.0	0.0	0.008,0.008,0.003	0.022,0.035,0.046	-0.028
5432	"ENSG00000189171.14"	"S100A13"	chr1	-	153626319	153627598	153626319	153626533	153627482	153627598	5432	142,218,75	277,306,101	612,597,534	315,333,407	1038	89	0.0	0.0	0.042,0.058,0.06	0.143,0.133,0.101	-0.072
5487	"ENSG00000204356.12"	"NELFE"	chr6	-	31953728	31954134	31953728	31953831	31954079	31954134	5487	63,55,37	373,414,155	135,139,100	119,195,202	337	89	0.0	0.0	0.043,0.034,0.059	0.231,0.158,0.116	-0.123
574	"ENSG00000105221.16"	"AKT2"	chr19	-	40236256	40238091	40236256	40236385	40237968	40238091	574	69,146,40	205,189,84	183,251,400	81,109,173	1672	89	0.0	0.0	0.018,0.039,0.025	0.107,0.109,0.11	-0.081
581	"ENSG00000108883.12"	"EFTUD2"	chr17	-	44853516	44854356	44853516	44853635	44854268	44854356	581	56,31,8	409,420,199	51,62,61	133,144,221	722	89	0.0	0.0	0.017,0.009,0.005	0.045,0.05,0.033	-0.032
881	"ENSG00000150316.11"	"CWC15"	chr11	-	94970976	94971487	94970976	94971065	94971374	94971487	881	13,16,9	339,329,171	57,53,76	95,184,160	398	89	0.0	0.0	0.009,0.011,0.012	0.118,0.061,0.096	-0.081
1143	"ENSG00000128567.16"	"PODXL"	chr7	-	131508950	131509585	131508950	131509028	131509364	131509585	1143	22,27,6	141,138,77	87,40,96	106,96,130	425	89	1.11022302463e-16	4.69465736129e-15	0.032,0.039,0.016	0.147,0.08,0.134	-0.091
187	"ENSG00000100099.20"	"HPS4"	chr22	-	26466225	26468623	26466225	26466262	26468550	26468623	187	71,63,13	67,64,20	53,115,260	21,20,47	2377	89	1.11022302463e-16	4.69465736129e-15	0.038,0.036,0.024	0.086,0.177,0.172	-0.112
3036	"ENSG00000072310.16"	"SREBF1"	chr17	-	17817547	17817916	17817547	17817591	17817695	17817916	3036	50,19,14	0,0,0	38,64,55	50,25,31	193	89	1.11022302463e-16	4.69465736129e-15	1.0,1.0,1.0	0.26,0.541,0.45	0.583
3175	"ENSG00000175061.17"	"LRRC75A-AS1"	chr17	+	16439326	16440253	16439326	16439414	16440184	16440253	3175	2273,2177,1071	3645,3501,1475	1015,1335,1258	3416,4488,3452	859	89	1.11022302463e-16	4.69465736129e-15	0.061,0.061,0.07	0.03,0.03,0.036	0.032
3498	"ENSG00000135974.9"	"C2orf49"	chr2	+	105342847	105343223	105342847	105342974	105343100	105343223	3498	230,221,127	21,33,12	61,111,143	31,62,65	215	89	1.11022302463e-16	4.69465736129e-15	0.819,0.735,0.814	0.449,0.426,0.477	0.339
5143	"ENSG00000100911.14"	"PSME2"	chr14	-	24144399	24145155	24144399	24144468	24145057	24145155	5143	191,184,118	968,819,360	200,293,229	432,449,363	678	89	1.11022302463e-16	4.69465736129e-15	0.025,0.029,0.041	0.057,0.079,0.076	-0.039
5190	"ENSG00000142541.16"	"RPL13A"	chr19	+	49489849	49490297	49489849	49489912	49490231	49490297	5190	151,184,54	64,91,43	73,89,99	126,194,210	408	89	1.11022302463e-16	4.69465736129e-15	0.34,0.306,0.215	0.112,0.091,0.093	0.188
5400	"ENSG00000013441.15"	"CLK1"	chr2	-	200859679	200861466	200859679	200859746	200861237	200861466	5400	217,291,116	49,33,10	319,813,1049	8,6,11	1580	89	1.11022302463e-16	4.69465736129e-15	0.2,0.332,0.395	0.692,0.884,0.843	-0.497
5553	"ENSG00000077782.19"	"FGFR1"	chr8	-	38427920	38428435	38427920	38428093	38428345	38428435	5553	4,3,3	38,55,31	25,40,62	33,52,37	341	89	1.11022302463e-16	4.69465736129e-15	0.027,0.014,0.025	0.165,0.167,0.304	-0.19
3907	"ENSG00000111641.11"	"NOP2"	chr12	-	6560097	6560569	6560097	6560326	6560446	6560569	3907	86,116,42	277,316,132	81,67,81	69,62,74	209	89	2.22044604925e-16	9.18739397582e-15	0.117,0.135,0.119	0.333,0.315,0.318	-0.198
5549	"ENSG00000214941.7"	"ZSWIM7"	chr17	-	15976559	15978163	15976559	15977092	15978043	15978163	5549	288,214,107	27,27,9	76,165,168	0,1,0	1040	89	2.22044604925e-16	9.18739397582e-15	0.477,0.404,0.504	1.0,0.934,1.0	-0.516
2933	"ENSG00000176454.13"	"LPCAT4"	chr15	-	34359588	34360209	34359588	34359745	34360110	34360209	2933	94,77,52	62,80,41	334,326,430	55,39,105	454	89	3.33066907388e-16	1.33504318711e-14	0.229,0.159,0.199	0.543,0.621,0.445	-0.341
3985	"ENSG00000105373.18"	"GLTSCR2"	chr19	+	47755755	47756604	47755755	47755822	47756527	47756604	3985	430,428,164	432,375,168	390,320,307	560,808,909	794	89	3.33066907388e-16	1.33504318711e-14	0.1,0.113,0.099	0.072,0.043,0.036	0.054
5552	"ENSG00000077782.19"	"FGFR1"	chr8	-	38427920	38428435	38427920	38428093	38428351	38428435	5552	9,4,3	45,83,35	32,40,65	43,64,74	347	89	3.33066907388e-16	1.33504318711e-14	0.049,0.012,0.022	0.16,0.138,0.184	-0.133
2550	"ENSG00000197694.14"	"SPTAN1"	chr9	+	128598962	128600115	128598962	128598986	128600079	128600115	2550	19,4,0	114,76,44	25,18,73	36,45,79	1182	89	4.4408920985e-16	1.76170647371e-14	0.012,0.004,0.0	0.05,0.029,0.065	-0.043
3803	"ENSG00000172053.16"	"QARS"	chr3	-	49103344	49103706	49103344	49103409	49103630	49103706	3803	88,139,35	397,267,106	37,33,58	330,359,490	310	89	5.55111512313e-16	2.17966234631e-14	0.06,0.13,0.087	0.031,0.026,0.033	0.062
3022	"ENSG00000103423.13"	"DNAJA3"	chr16	+	4442267	4443164	4442267	4442420	4443016	4443164	3022	35,35,7	406,437,166	27,44,62	99,142,188	685	89	7.77156117238e-16	3.0207037769e-14	0.011,0.01,0.005	0.034,0.039,0.041	-0.029
4435	"ENSG00000198218.10"	"QRICH1"	chr3	-	49032621	49033228	49032621	49032773	49033119	49033228	4435	67,92,34	220,219,110	108,139,169	98,126,181	435	89	9.99200722163e-16	3.84492437888e-14	0.059,0.079,0.059	0.184,0.184,0.16	-0.11
459	"ENSG00000092531.9"	"SNAP23"	chr15	+	42512954	42513447	42512954	42512996	42513398	42513447	459	15,14,0	162,174,80	22,49,51	92,97,132	491	89	1.11022302463e-15	4.22983980077e-14	0.017,0.014,0.0	0.042,0.084,0.065	-0.053
3327	"ENSG00000165792.17"	"METTL17"	chr14	+	20993117	20994063	20993117	20993191	20993968	20994063	3327	92,99,58	237,230,121	130,78,153	85,92,104	866	89	1.33226762955e-15	5.02604493971e-14	0.038,0.042,0.047	0.136,0.08,0.131	-0.073
657	"ENSG00000173113.6"	"TRMT112"	chr11	-	64316690	64317147	64316690	64316968	64317057	64317147	657	150,141,80	2349,2245,939	22,18,34	1031,1241,1126	178	89	1.55431223448e-15	5.80678978474e-14	0.031,0.03,0.041	0.011,0.007,0.015	0.023
3361	"ENSG00000183963.18"	"SMTN"	chr22	+	31096997	31097338	31096997	31097060	31097268	31097338	3361	20,35,9	131,139,44	71,89,66	85,61,91	297	89	1.7763568394e-15	6.57252030578e-14	0.044,0.07,0.058	0.2,0.304,0.179	-0.17
1676	"ENSG00000115307.16"	"AUP1"	chr2	-	74528750	74529282	74528750	74528935	74529131	74529282	1676	284,345,141	379,504,243	321,376,347	243,197,216	285	89	2.6645352591e-15	9.76488731144e-14	0.19,0.176,0.153	0.292,0.373,0.334	-0.16
2644	"ENSG00000165487.13"	"MICU2"	chr13	-	21495160	21496160	21495160	21495318	21496051	21496160	2644	9,4,0	379,381,125	31,64,48	125,197,200	822	89	2.77555756156e-15	9.9816313055e-14	0.003,0.001,0.0	0.026,0.034,0.025	-0.027
68	"ENSG00000128191.14"	"DGCR8"	chr22	+	20089668	20090258	20089668	20089811	20089975	20090258	68	42,30,16	120,151,50	27,35,28	15,13,19	253	89	2.77555756156e-15	9.9816313055e-14	0.11,0.065,0.101	0.388,0.486,0.341	-0.313
1536	"ENSG00000164068.15"	"RNF123"	chr3	+	49720799	49721105	49720799	49720894	49721019	49721105	1536	105,114,55	47,35,17	22,23,46	59,42,60	214	89	3.10862446895e-15	1.10759138486e-13	0.482,0.575,0.574	0.134,0.186,0.242	0.356
2557	"ENSG00000130826.16"	"DKC1"	chrX	+	154774601	154775273	154774601	154774705	154775194	154775273	2557	62,109,31	590,574,294	85,51,95	146,187,244	578	89	3.44169137634e-15	1.2150117813e-13	0.016,0.028,0.016	0.082,0.04,0.057	-0.04
